진료개시년도,진료형태소분류코드,시도코드,시도시군구코드,주상병분류,진료인원(명),진료비(천원)
2021,한방기관입원,서울특별시,성북구,정신 및 행동장애[F00-F99],67,231992
2021,한방기관입원,서울특별시,성북구,신경계의 질환[G00-G99],153,286136
2021,한방기관입원,서울특별시,성북구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,성북구,귀 및 유양돌기의 질환[H60-H95],5,8939
2021,한방기관입원,서울특별시,성북구,순환기계의 질환[I00-I99],166,309054
2021,한방기관입원,서울특별시,성북구,호흡기계의 질환[J00-J99],14,1922
2021,한방기관입원,서울특별시,성북구,소화기계의 질환[K00-K93],31,29742
2021,한방기관입원,서울특별시,성북구,피부 및 피하조직의 질환[L00-L99],*,*
2021,한방기관입원,서울특별시,성북구,근골격계 및 결합조직의 질환[M00-M99],372,487287
2021,한방기관입원,서울특별시,성북구,비뇨생식기계의 질환[N00-N99],16,12623
2021,한방기관입원,서울특별시,성북구,주산기에 기원한 특정병태[P00-P96],*,*
2021,한방기관입원,서울특별시,성북구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],55,41250
2021,한방기관입원,서울특별시,성북구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],203,306440
2021,한방기관입원,서울특별시,성북구,특수목적코드[U00-U99],65,73796
2021,한방기관입원,서울특별시,강북구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,강북구,신생물[C00-D48],112,184311
2021,한방기관입원,서울특별시,강북구,내분비  영양 및 대사질환[E00-E90],17,12940
2021,한방기관입원,서울특별시,강북구,정신 및 행동장애[F00-F99],75,513949
2021,한방기관입원,서울특별시,강북구,신경계의 질환[G00-G99],147,202753
2021,한방기관입원,서울특별시,강북구,순환기계의 질환[I00-I99],119,143748
2021,한방기관입원,서울특별시,강북구,호흡기계의 질환[J00-J99],7,1199
2021,한방기관입원,서울특별시,강북구,소화기계의 질환[K00-K93],19,13738
2021,한방기관입원,서울특별시,강북구,근골격계 및 결합조직의 질환[M00-M99],370,566074
2021,한방기관입원,서울특별시,강북구,비뇨생식기계의 질환[N00-N99],21,12172
2021,한방기관입원,서울특별시,강북구,달리 분류되지 않은 증상  징후와 임상 및 검사의 이상 소견[R00-R99],38,43502
2021,한방기관입원,서울특별시,강북구,손상  중독및 외인에 의한 특정 기타 결과[S00-T98],154,250112
2021,한방기관입원,서울특별시,강북구,건강상태 및 보건서비스 접촉에 영향을 주는 요인[Z00-Z99],*,*
2021,한방기관입원,서울특별시,강북구,특수목적코드[U00-U99],59,51193
2021,한방기관입원,서울특별시,도봉구,특정감염성 및 기생충성 질환[A00-B99],*,*
2021,한방기관입원,서울특별시,도봉구,신생물[C00-D48],101,108184
2021,한방기관입원,서울특별시,도봉구,혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애[D50-D89],*,*
2021,한방기관입원,서울특별시,도봉구,내분비  영양 및 대사질환[E00-E90],20,11060
2021,한방기관입원,서울특별시,도봉구,정신 및 행동장애[F00-F99],118,769315
2021,한방기관입원,서울특별시,도봉구,신경계의 질환[G00-G99],143,209921
2021,한방기관입원,서울특별시,도봉구,눈및눈부속기의 질환[H00-H59],*,*
2021,한방기관입원,서울특별시,도봉구,순환기계의 질환[I00-I99],128,150164
2021,한방기관입원,서울특별시,도봉구,호흡기계의 질환[J00-J99],22,13849
